Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;SC;JARAGUA DO SUL;POSTO CIDADE LTDA; 81.352.882/0005-80;RUA ERWINO MENEGOTTI;1818;;RAU;89254-000;GLP;01/04/2022;114,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;SC;JARAGUA DO SUL;POSTO AGRICOPEL LTDA.; 83.488.882/0008-80;RUA JOAQUIM FRANCISCO DE PAULA;360;;CHICO DE PAULO;89254-710;GLP;01/04/2022;114,99;;R$ / 13 kg;ULTRAGAZ
S;SC;JARAGUA DO SUL;POSTO CIDADE LTDA; 81.352.882/0001-56;RUA MARECHAL FLORIANO PEIXOTO;167;;CENTRO;89251-150;GLP;01/04/2022;114,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SERTAOZINHO;AUTO POSTO CARLETO LTDA; 96.318.571/0002-29;AVENIDA ANTONIO PASCHOAL;1128;;CENTRO;14170-500;GLP;01/04/2022;115;;R$ / 13 kg;ULTRAGAZ
SE;SP;BIRIGUI;AUTO POSTO SCUCUGLIA E OLIVEIRA LTDA; 00.226.807/0001-47;RUA CONSOLACAO;140;;PARQUE R PINHEIROS;16203-031;GLP;01/04/2022;113;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;TRES CORACOES;ROBERTO ROSA; 01.231.163/0001-48;RUA DOMINGOS MILITÃO DE CARVALHO;269;;SANTO AFONSO;37410-000;GLP;01/04/2022;105;;R$ / 13 kg;BRANCA
SE;SP;SERTAOZINHO;N.S. COMÉRCIO DE GÁS SERTÃOZINHO EIRELI; 03.376.651/0001-79;AVENIDA NOSSA SENHORA APARECIDA;1915;;SAO JOAO;14170-580;GLP;01/04/2022;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;RJ;TRES RIOS;REAL COMÉRCIO DE GÁS LTDA.; 28.868.420/0001-03;AVENIDA ZOELLO SOLA;2123;;TRIÂNGULO;25821-080;GLP;01/04/2022;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;BIRIGUI;BRANDAO SANTA ROSA COMERCIO DE GAS LTDA; 65.895.914/0001-03;RUA ARGEMIRO RICCI;942;;JD. SÃO CONRADO;16201-114;GLP;01/04/2022;112;;R$ / 13 kg;BRANCA
SE;SP;SERTAOZINHO;F. H. MARCHIORI GÁS; 05.580.812/0002-58;AVENIDA ANTÔNIO PASCHOAL;1001;;CENTRO;14160-500;GLP;01/04/2022;130;;R$ / 13 kg;ULTRAGAZ
SE;MG;TRES CORACOES;RONAN CARVALHO TORIBIO ME; 07.319.006/0001-75;AVENIDA PREFEITO ORLANDO REZENDE ANDRADE;540;;MONTE ALEGRE;37410-000;GLP;01/04/2022;105;;R$ / 13 kg;BRANCA
SE;SP;BIRIGUI;NILDA FÁTIMA DE PAULA GÁS - ME; 03.064.210/0001-31;AVENIDA   BENJAMIN LOT;51;;JOAO CREVELARO;16202-290;GLP;01/04/2022;115;;R$ / 13 kg;BRANCA
SE;MG;TRES CORACOES;ARANTES E FERREIRA LTDA. ME; 08.157.043/0001-97;RUA JOSÉ ADELAIDE;112;;SANTO AFONSO;37410-000;GLP;01/04/2022;105;;R$ / 13 kg;BRANCA
SE;MG;TRES CORACOES;HELIO DE SOUZA JUNIOR - CPF 037.031.976-17; 09.039.582/0001-94;RUA ALZIRA FELICIANA SIQUEIRA;111;;NOVO HORIZONTE;37410-001;GLP;01/04/2022;105;;R$ / 13 kg;CONSIGAZ
SE;SP;BIRIGUI;BIRI PETRO COMERCIO DE COMBUSTIVEIS LTDA; 11.465.956/0001-85;RUA JOSE MASSON;800;;JARDIM RECANTO DOS PASSAROS;16201-155;GLP;01/04/2022;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;BIRIGUI;GILMAR RODRIGUES GÁS ME; 09.502.515/0001-64;RUA ANTÔNIO AGATIELO;1990;FUNDOS;PARQUE RESIDENCIAL AMÉRICA;16202-213;GLP;01/04/2022;115;;R$ / 13 kg;BRANCA
