Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;RS;PORTO ALEGRE;COMPANHIA ULTRAGAZ S A; 61.602.199/0065-87;AVENIDA CAIRU;989;;NAVEGANTES;90230-031;GLP;02/06/2022;110;;R$ / 13 kg;ULTRAGAZ
SE;RJ;NOVA IGUACU;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA; 06.980.064/0027-11;ESTRADA DR. PLÍNIO CASADO;2227;;PRATA;26220-422;GLP;01/06/2022;97;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0005-75;AVENIDA BOULEVARD THAUMATURGO;1031;;CENTRO;69980-000;GLP;01/06/2022;132;;R$ / 13 kg;AMAZONGÁS
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;GLP;01/06/2022;132;;R$ / 13 kg;AMAZONGÁS
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;GLP;01/06/2022;132;;R$ / 13 kg;AMAZONGÁS
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;LOTEAMENTO PORTAL DA AMAZONIA;S/N;QUADRA 101 LTS 01,02,03,04, 05 E 33;CALAFATE;69905-801;GLP;01/06/2022;135;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO ISAURAO LTDA; 04.594.586/0001-10;RUA ISAURA PARENTE;1412;;ESTACAO EXPERIMENTAL;69918-216;GLP;01/06/2022;123;;R$ / 13 kg;AMAZONGÁS
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;GLP;01/06/2022;132;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;POSTO VILLAGE LTDA.; 06.906.483/0001-74;RUA ANTONIO DA ROCHA VIANA;S/N;CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04;VILA IVONETE;69914-610;GLP;01/06/2022;130;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO CIDADE - EIRELI; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;GLP;01/06/2022;128;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;FARHAT & FARHAT LTDA; 06.057.934/0001-46;RUA SANTA INES;1036;;BAIXA DA COLINA;69901-313;GLP;02/06/2022;145;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;T. M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 03.899.888/0001-34;RUA VALDOMIRO LOPES;793;;CONQUISTA;69914-460;GLP;01/06/2022;123;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GLP;01/06/2022;126;;R$ / 13 kg;AMAZONGÁS
NE;BA;JEQUIE;SS COMERCIO DERIVADOS DE PETROLEO LTDA; 08.505.094/0001-62;RUA BERTINO PASSOS;250;;CENTRO;45202-340;GLP;02/06/2022;90;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;GLP;02/06/2022;92;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;JEQUIE;STOCK COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.; 13.707.245/0001-03;RUA BRIGADEIRO SÁ BITENCOURT;5;;JEQUIEZINHO;45202-130;GLP;02/06/2022;93;;R$ / 13 kg;LIQUIGÁS
NE;BA;PORTO SEGURO;PORTAL POSTO DE COMBUSTIVEIS EIRELI; 07.064.096/0001-09;AVENIDA ADNO MUSSER;3600;TERREO;CAMBOLO;45810-000;GLP;01/06/2022;98;;R$ / 13 kg;LIQUIGÁS
NE;CE;MARACANAU;POSTO BOTO LTDA; 03.020.995/0001-40;AVENIDA PADRE JOSE HOLANDA DO VALE;809;;PIRATININGA;61905-000;GLP;02/06/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;DF;BRASILIA;SOUSA & ALVES COMERCIO DE DERIVADOS DE PETROLEO LTDA; 07.111.605/0001-07; QNM 15 LOTE G AREA ESPECIAL;S/N;;CEILANDIA;72215-150;GLP;01/06/2022;109,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0015-00;QUADRA QR 516 CONJUNTO 13B LOTE LOTE;1;;SAMAMBAIA SUL;70772-500;GLP;01/06/2022;107,99;;R$ / 13 kg;ULTRAGAZ
SE;ES;SAO MATEUS;POSTO SD LTDA.; 00.762.780/0002-98;AVENIDA GURIRI;154;;GURIRI;29930-000;GLP;01/06/2022;99,99;;R$ / 13 kg;BRANCA
CO;GO;ANAPOLIS;J F DE OLIVEIRA - DERIVADOS DE PETROLEO; 07.783.809/0001-86;AVENIDA PRESIDENTE KENNEDY;1,774;LOTE 01 QUADRA 05;JARDIM ALEXANDRINA;75060-100;GLP;01/06/2022;110;;R$ / 13 kg;BRANCA
CO;GO;ANAPOLIS;AUTO POSTO CARRETEIRO LTDA; 03.879.004/0001-80;AVENIDA BRASIL NORTE;4801;;JARDIM DAS AMÉRICAS;75045-190;GLP;01/06/2022;120;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0003-45;AVENIDA DOS FRANCESES;25;;TIRIRICAL;65036-280;GLP;01/06/2022;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;GLP;01/06/2022;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0006-23;UNIDADE DUZENTOS E TRES;6000;;CIDADE OPERARIA;65058-000;GLP;01/06/2022;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0002-08;AVENIDA GUAJAJARA;205;;SAO CRISTOVAO;65099-110;GLP;01/06/2022;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0001-83;AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO;5;;COHAB ANIL I;65051-210;GLP;01/06/2022;119,99;;R$ / 13 kg;LIQUIGÁS
N;PA;BELEM;AUTO POSTO BELEM LTDA; 05.825.216/0001-00;AVENIDA PEDRO ALVARES CABRAL;S/N;ESQ. COM AV. TAVARES BASTOS;MARAMBAIA;66613-150;GLP;02/06/2022;119,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0012-21;AVENIDA PEDRO ALVARES CABRAL;1020;;MARAMBAIA;66615-860;GLP;02/06/2022;116,99;;R$ / 13 kg;BAHIANA
N;PA;MARABA;POSTO DO BOLINHA LTDA; 01.332.446/0001-86;AVENIDA TRANSAMAZONICA;2180;;CIDADE NOVA;68501-535;GLP;01/06/2022;130;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PB;CABEDELO;FURTADO & CIA LTDA; 09.220.427/0001-70;RUA DUQUE DE CAXIAS;293;0;CENTRO;58310-000;GLP;02/06/2022;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PE;RECIFE;SIVINI PETROLEO LTDA; 02.998.548/0001-06;AVENIDA BEBERIBE;3433;;PORTO  DA  MADEIRA;52130-000;GLP;02/06/2022;104;;R$ / 13 kg;BRANCA
S;PR;PATO BRANCO;CAPELEZZO & CAPELEZZO LTDA; 75.634.808/0001-20;RUA GUARANI;912;;CENTRO;85501-050;GLP;02/06/2022;128;;R$ / 13 kg;ULTRAGAZ
SE;RJ;SAO GONCALO;CENTRO AUTOMOTIVO PARAISO DE SÃO GONÇALO LTDA.; 01.355.571/0001-01;RUA COMANDANTE ARI PARREIRAS;2013;;PARAISO;24430-000;GLP;02/06/2022;96,99;;R$ / 13 kg;BRANCA
N;RR;BOA VISTA;A P FACCIO; 03.611.874/0001-73;AVENIDA BRASIL;1228;QUADRA 74;CINTURAO VERDE;69312-450;GLP;01/06/2022;135;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;ARNOGAS & CIA. LTDA.; 05.939.533/0003-19;RUA JOÃO ALENCAR;696;;AEROPORTO;69312-042;GLP;01/06/2022;130;;R$ / 13 kg;FOGAS
S;RS;BAGE;L. CASTRO COMERCIO DE COMBUSTIVEIS LTDA; 05.799.373/0002-79;RUA EMÍLIO GUILAIN;673;;CENTRO;96415-100;GLP;01/06/2022;125;;R$ / 13 kg;LIQUIGÁS
S;RS;BAGE;F.F.STAEVIE COMBUSTIVEIS LTDA; 05.757.241/0001-01;AVENIDA SANTA TECLA;1891;;GETULIO VARGAS;96413-000;GLP;01/06/2022;120;;R$ / 13 kg;LIQUIGÁS
